"School","Conference","Division"
"Manchester University","Heartland Collegiate Athletic Conference","III"
"Manhattan College","Metro Atlantic Athletic Conference","I"
"Manhattanville College","Middle Atlantic Conferences","III"
"Mansfield University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Maranatha Baptist University","Independent","III"
"Marian University (Wisconsin)","Northern Athletics Collegiate Conference","III"
"Marietta College","Ohio Athletic Conference","III"
"Marist College","Metro Atlantic Athletic Conference","I-FCS"
"Marquette University","Big East Conference","I"
"Mars Hill University","South Atlantic Conference","II"
"Marshall University","Conference USA","I-FBS"
"Martin Luther College","Upper Midwest Athletic Conference","III"
"Mary Baldwin University","USA South Athletic Conference","III"
"Marymount University (Virginia)","Capital Athletic Conference Inc.","III"
"Maryville College (Tennessee)","USA South Athletic Conference","III"
"Maryville University of Saint Louis","Great Lakes Valley Conference","II"
"Marywood University","Colonial States Athletic Conference","III"
"Massachusetts College of Liberal Arts","Massachusetts State Collegiate Athletic Conference","III"
"Massachusetts Institute of Technology","New England Women's and Men's Athletic Conference","III"
"Massachusetts Maritime Academy","Massachusetts State Collegiate Athletic Conference","III"
"McDaniel College","Centennial Conference","III"
"McKendree University","Great Lakes Valley Conference","II"
"McMurry University","American Southwest Conference","III"
"McNeese State University","Southland Conference","I-FCS"
"Medaille College","Allegheny Mountain Collegiate Conference","III"
"Medgar Evers College","City University of New York Athletic Conference","III"
"Mercer University","Southern Conference","I-FCS"
"Mercy College","East Coast Conference","II"
"Mercyhurst University","Pennsylvania State Athletic Conference","II"
"Meredith College","USA South Athletic Conference","III"
"Merrimack College","Northeast-10 Conference","II"
"Messiah College","Middle Atlantic Conferences","III"
"Methodist University","USA South Athletic Conference","III"
"Metropolitan State University of Denver","Rocky Mountain Athletic Conference","II"
"Miami University (Ohio)","Mid-American Conference","I-FBS"
"Michigan State University","Big Ten Conference","I-FBS"
"Michigan Technological University","Great Lakes Intercollegiate Athletic Conference","II"
"Middle Tennessee State University","Conference USA","I-FBS"
"Middlebury College","New England Small College Athletic Conference","III"
"Midwestern State University","Lone Star Conference","II"
"Miles College","Southern Intercol. Ath. Conf.","II"
"Millersville University of Pennsylvania","Pennsylvania State Athletic Conference","II"
"Millikin University","College Conference of Illinois & Wisconsin","III"
"Mills College","Independent","III"
"Millsaps College","Southern Athletic Association","III"
"Milwaukee School of Engineering","Northern Athletics Collegiate Conference","III"
"Minnesota State University Moorhead","Northern Sun Intercollegiate Conference","II"
"Minnesota State University, Mankato","Northern Sun Intercollegiate Conference","II"
"Minot State University","Northern Sun Intercollegiate Conference","II"
"Misericordia University","Middle Atlantic Conferences","III"
"Mississippi College","Gulf South Conference","II"
"Mississippi State University","Southeastern Conference","I-FBS"
"Mississippi Valley State University","Southwestern Athletic Conf.","I-FCS"
"Missouri Southern State University","Mid-America Intercollegiate Athletics Association","II"
"Missouri State University","Missouri Valley Conference","I-FCS"
"Missouri University of Science and Technology","Great Lakes Valley Conference","II"
"Missouri Western State University","Mid-America Intercollegiate Athletics Association","II"
"Mitchell College","New England Collegiate Conference","III"
"Molloy College","East Coast Conference","II"
"Monmouth College (Illinois)","Midwest Conference","III"
"Monmouth University","Metro Atlantic Athletic Conference","I-FCS"
"Montana State University Billings","Great Northwest Athletic Conference","II"
"Montana State University-Bozeman","Big Sky Conference","I-FCS"
"Montclair State University","New Jersey Athletic Conference","III"
"Moravian College","Landmark Conference","III"
"Morehead State University","Ohio Valley Conference","I-FCS"
"Morehouse College","Southern Intercol. Ath. Conf.","II"
"Morgan State University","Mid-Eastern Athletic Conf.","I-FCS"
"Morrisville State College","North Eastern Athletic Conference","III"
"Mount Aloysius College","Allegheny Mountain Collegiate Conference","III"
"Mount Holyoke College","New England Women's and Men's Athletic Conference","III"
"Mount Ida College","Great Northeast Athletic Conference","III"
"Mount Mary University","Independent","III"
"Mount Saint Mary College (New York)","Skyline Conference","III"
"Mount St. Joseph University","Heartland Collegiate Athletic Conference","III"
"Mount St. Mary's University","Northeast Conference","I"
"Muhlenberg College","Centennial Conference","III"
"Murray State University","Ohio Valley Conference","I-FCS"
"Muskingum University","Ohio Athletic Conference","III"
"Nazareth College","Empire 8","III"
"Nebraska Wesleyan University","Iowa Intercol. Athletic Conf.","III"
"Neumann University","Colonial States Athletic Conference","III"
"New England College","North Atlantic Conference","III"
"New Jersey City University","New Jersey Athletic Conference","III"
"New Jersey Institute of Technology","ASUN Conference","I"
